Flight No.,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome,Date,Time,Version Booster,Booster landing
512,Kennedy,Crew-11,"~13,000 kg",LEO,NASA,Success,"August 1, 2025",15:43,F9B5,Success ( LZ‑1
513,Cape Canaveral,Starlink,"~16,100 kg",LEO,SpaceX,Success,"August 4, 2025",07:57,F9B5,Success ( JRTI
514,Cape Canaveral,KuiperSat,"~14,784 kg",LEO,Amazon,Success,"August 11, 2025",12:35,F9B5,Success ( ASOG
515,Vandenberg,Starlink,"~17,500 kg",SSO,SpaceX,Success,"August 14, 2025",05:05,F9B5,Success ( OCISLY
516,Cape Canaveral,Starlink,"~16,100 kg",LEO,SpaceX,Success,"August 14, 2025",12:29,F9B5,Success ( JRTI
517,Vandenberg,Starlink,"~17,500 kg",SSO,SpaceX,Success,"August 18, 2025",16:26,F9B5,Success ( OCISLY
518,Kennedy,USSF-36,"~4,990 kg",LEO,USSF,Success,"August 22, 2025",03:50,F9B5[,Success ( LZ‑2
519,Vandenberg,Starlink,"~17,500 kg",SSO,SpaceX,Success,"August 22, 2025",17:04,F9B5,Success ( OCISLY
520,Cape Canaveral,SpaceX CRS-33,"2,300 kg",LEO,NASA,Success,"August 24, 2025",06:45,F9B5,Success ( ASOG
521,Vandenberg,NAOS,"~1,370 kg",SSO,Luxembourg Armed Forces,Success,"August 26, 2025",18:53,F9B5,Success ( LZ‑4
522,Cape Canaveral,Starlink,"~16,100 kg",LEO,SpaceX,Success,"August 27, 2025",11:10,F9B5,Success ( JRTI
523,Kennedy,Starlink,"~16,100 kg",LEO,SpaceX,Success,"August 28, 2025",08:12,F9B5,Success ( ASOG
524,Vandenberg,Starlink,"~17,500 kg",SSO,SpaceX,Success,"August 30, 2025",04:59,F9B5,Success ( OCISLY
525,Cape Canaveral,Starlink,"~16,100 kg",LEO,SpaceX,Success,"August 31, 2025",11:49,F9B5,Success ( JRTI
526,Vandenberg,Starlink,"~17,500 kg",SSO,SpaceX,Success,"September 3, 2025",03:51,F9B5,Success ( OCISLY
527,Cape Canaveral,Starlink,"~16,100 kg",LEO,SpaceX,Success,"September 3, 2025",11:56,F9B5,Success ( ASOG
528,Kennedy,Starlink,"~16,100 kg",LEO,SpaceX,Success,"September 5, 2025",12:32,F9B5,Success ( JRTI
