Flight No.,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome,Date,Time,Version Booster,Booster landing
305,Kennedy,Crew-8,"~13,000 kg",LEO,NASA,Success,"March 4, 2024",03:53,F9B5,Success ( LZ‑1
306,Vandenberg,Transporter-10,U,SSO,,Success,"March 4, 2024",22:05,F9B5,Success ( LZ‑4
307,Cape Canaveral,Starlink,"~17,100 kg",LEO,SpaceX,Success,"March 4, 2024",23:56,F9B5,Success ( ASOG
308,Cape Canaveral,Starlink,"~17,100 kg",LEO,SpaceX,Success,"March 10, 2024",23:05,F9B5,Success ( JRTI
309,Vandenberg,Starlink,"~17,100 kg",LEO,SpaceX,Success,"March 11, 2024",04:09,F9B5,Success ( OCISLY
310,Kennedy,Starlink,"~17,100 kg",LEO,SpaceX,Success,"March 16, 2024",00:21,F9B5,Success ( ASOG
311,Vandenberg,Starlink,"~16,300 kg",LEO,SpaceX,Success,"March 19, 2024",02:28,F9B5,Success ( OCISLY
312,Cape Canaveral,SpaceX CRS-30,"2,721 kg",LEO,NASA,Success,"March 21, 2024",20:55,F9B5,Success ( LZ‑1
313,Kennedy,Starlink,"~17,100 kg",LEO,SpaceX,Success,"March 24, 2024",03:09,F9B5,Success ( JRTI
314,Cape Canaveral,Starlink,"~17,100 kg",LEO,SpaceX,Success,"March 25, 2024",23:42,F9B5,Success ( ASOG
315,Kennedy,Eutelsat 36D,"5,000 kg",GTO,Eutelsat,Success,"March 30, 2024",21:52,F9B5,Success ( JRTI
316,Cape Canaveral,Starlink,"~17,100 kg",LEO,SpaceX,Success,"March 31, 2024",01:30,F9B5,Success ( ASOG
317,Vandenberg,Starlink,"~16,700 kg",LEO,SpaceX,Success,"April 2, 2024",02:30,F9B5,Success ( OCISLY
318,Cape Canaveral,Starlink,"~17,100 kg",LEO,SpaceX,Success,"April 5, 2024",09:12,F9B5,Success ( ASOG
319,Vandenberg,Starlink,"~16,800 kg",LEO,SpaceX,Success,"April 7, 2024",02:25,F9B5,Success ( OCISLY
320,Kennedy,Bandwagon-1,U,LEO,Republic of Korea Armed Forces,Success,"April 7, 2024",23:16,F9B5,Success ( LZ‑1
321,Cape Canaveral,Starlink,"~17,100 kg",LEO,SpaceX,Success,"April 10, 2024",05:40,F9B5,Success ( JRTI
322,Vandenberg,WSF-M 1,"1,200 kg",SSO,USSF,Success,"April 11, 2024",14:25,F9B5,Success ( LZ‑4
323,Cape Canaveral,Starlink,"~17,100 kg",LEO,SpaceX,Success,"April 13, 2024",01:40,F9B5,Success ( ASOG
324,Kennedy,Starlink,"~17,100 kg",LEO,SpaceX,Success,"April 17, 2024",21:26,F9B5,Success ( JRTI
325,Cape Canaveral,Starlink,"~17,100 kg",LEO,SpaceX,Success,"April 18, 2024",22:40,F9B5,Success ( ASOG
326,Cape Canaveral,Starlink,"~17,100 kg",LEO,SpaceX,Success,"April 23, 2024",22:17,F9B5,Success ( JRTI
327,Kennedy,Galileo,"1,600 kg",MEO,ESA,Success,"April 28, 2024",00:34,F9B5,No attempt
328,Cape Canaveral,Starlink,"~17,100 kg",LEO,SpaceX,Success,"April 28, 2024",22:08,F9B5,Success ( JRTI
329,Vandenberg,WorldView Legion,"1,500 kg",SSO,Maxar Technologies,Success,"May 2, 2024",18:36,F9B5,Success ( LZ‑4
330,Cape Canaveral,Starlink,"~17,100 kg",LEO,SpaceX,Success,"May 3, 2024",02:37,F9B5,Success ( ASOG
331,Cape Canaveral,Starlink,"~17,100 kg",LEO,SpaceX,Success,"May 6, 2024",18:14,F9B5,Success ( JRTI
332,Kennedy,Starlink,"~17,100 kg",LEO,SpaceX,Success,"May 8, 2024",18:42,F9B5,Success ( ASOG
333,Vandenberg,Starlink,"~16,300 kg",LEO,SpaceX,Success,"May 10, 2024",04:30,F9B5,Success ( OCISLY
334,Cape Canaveral,Starlink,"~17,100 kg",LEO,SpaceX,Success,"May 13, 2024",00:53,F9B5,Success ( ASOG
335,Vandenberg,Starlink,"~16,300 kg",LEO,SpaceX,Success,"May 14, 2024",18:39,F9B5,Success ( OCISLY
336,Cape Canaveral,Starlink,"~17,100 kg",LEO,SpaceX,Success,"May 18, 2024",00:32,F9B5,Success ( ASOG
337,Vandenberg,Starshield,U,SSO,Northrop Grumman,Success,"May 22, 2024",08:00,F9B5,Success ( OCISLY
338,Cape Canaveral,Starlink,"~17,100 kg",LEO,SpaceX,Success,"May 23, 2024",02:35,F9B5,Success ( ASOG
339,Kennedy,Starlink,"~17,100 kg",LEO,SpaceX,Success,"May 24, 2024",02:45,F9B5,Success ( JRTI
340,Cape Canaveral,Starlink,"~17,100 kg",LEO,SpaceX,Success,"May 28, 2024",14:24,F9B5,Success ( ASOG
341,Vandenberg,EarthCARE,"2,350 kg",SSO,ESA,Success,"May 28, 2024",22:20,F9B5,Success ( LZ‑4
342,Cape Canaveral,Starlink,"~17,100 kg",LEO,SpaceX,Success,"June 1, 2024",02:37,F9B5,Success ( ASOG
343,Cape Canaveral,Starlink,"~16,300 kg",LEO,SpaceX,Success,"June 5, 2024",02:16,F9B5,Success ( JRTI
344,Cape Canaveral,Starlink,"~16,700 kg",LEO,SpaceX,Success,"June 8, 2024",01:56,F9B5,Success ( ASOG
345,Vandenberg,Starlink,"~16,300 kg",LEO,SpaceX,Success,"June 8, 2024",12:58,F9B5,Success ( OCISLY
346,Vandenberg,Starlink,"~16,300 kg",LEO,SpaceX,Success,"June 19, 2024",03:40,F9B5,Success ( OCISLY
347,Cape Canaveral,Astra 1P,"5,000 kg",GTO,SES,Success,"June 20, 2024",21:35,F9B5,Success ( JRTI
348,Cape Canaveral,Starlink,"~16,700 kg",LEO,SpaceX,Success,"June 23, 2024",17:15,F9B5,Success ( ASOG
349,Vandenberg,Starlink,"~16,300 kg",LEO,SpaceX,Success,"June 24, 2024",03:47,F9B5,Success ( OCISLY
350,Cape Canaveral,Starlink,"~17,100 kg",LEO,SpaceX,Success,"June 27, 2024",11:14,F9B5,Success ( JRTI
351,Vandenberg,Starshield,U,SSO,NRO,Success,"June 29, 2024",03:14,F9B5,Success ( OCISLY
352,Cape Canaveral,Starlink,"~16,300 kg",LEO,SpaceX,Success,"July 3, 2024",08:55,F9B5,Success ( ASOG
353,Cape Canaveral,Türksat 6A,"4,250 kg",GTO,Türksat,Success,"July 8, 2024",23:30,F9B5,Success ( JRTI
354,Vandenberg,Starlink,"~16,300 kg",LEO,SpaceX,Failure,"July 12, 2024",02:35,F9B5,Success ( OCISLY
355,Kennedy,Starlink,"~17,100 kg",LEO,SpaceX,Success,"July 27, 2024",05:45,F9B5,Success ( JRTI
356,Cape Canaveral,Starlink,"~17,100 kg",LEO,SpaceX,Success,"July 28, 2024",05:09,F9B5,Success ( ASOG
357,Vandenberg,Starlink,"~16,500 kg",LEO,SpaceX,Success,"July 28, 2024",09:22,F9B5,Success ( OCISLY
358,Kennedy,Starlink,"~17,100 kg",LEO,SpaceX,Success,"August 2, 2024",05:01,F9B5,Success ( ASOG
359,Vandenberg,Starlink,"~17,100 kg",LEO,SpaceX,Success,"August 4, 2024",07:24,F9B5,Success ( OCISLY
360,Cape Canaveral,"CRS NG-21 (S.S. Francis R. ""Dick"" Scobee)","3,857 kg",LEO,Northrop Grumman,Success,"August 4, 2024",15:02,F9B5,Success ( LZ‑1
361,Cape Canaveral,Starlink,"~16,500 kg",LEO,SpaceX,Success,"August 10, 2024",12:50,F9B5,Success ( JRTI
362,Vandenberg,,"~7,230 kg",Molniya,Space Norway,Success,"August 12, 2024",02:02,F9B5,Success ( OCISLY
363,Kennedy,Starlink,"~17,100 kg",LEO,SpaceX,Success,"August 12, 2024",10:37,F9B5,Success ( ASOG
364,Cape Canaveral,WorldView Legion,"1,500 kg",LEO,Maxar Technologies,Success,"August 15, 2024",13:00,F9B5,Success ( LZ‑1
365,Vandenberg,Transporter-11,U,SSO,,Success,"August 16, 2024",18:56,F9B5,Success ( LZ‑4
366,Cape Canaveral,Starlink,"~16,700 kg",LEO,SpaceX,Success,"August 20, 2024",13:20,F9B5,Success ( ASOG
367,Cape Canaveral,Starlink,"~16,700 kg",LEO,SpaceX,Success,"August 28, 2024",07:48,F9B5,Failure ( ASOG
368,Cape Canaveral,Starlink,"~16,700 kg",LEO,SpaceX,Success,"August 31, 2024",07:43,F9B5,Success ( JRTI
369,Vandenberg,Starlink,"~16,700 kg",LEO,SpaceX,Success,"August 31, 2024",08:48,F9B5,Success ( OCISLY
370,Cape Canaveral,Starlink,"~16,700 kg",LEO,SpaceX,Success,"September 5, 2024",15:33,F9B5,Success ( JRTI
371,Vandenberg,Starshield,U,LEO,NRO,Success,"September 6, 2024",03:20,F9B5,Success ( OCISLY
372,Kennedy,Polaris Dawn,"~13,000 kg",LEO,Polaris Program,Success,"September 10, 2024",09:23,F9B5,Success ( JRTI
373,Cape Canaveral,,"7,500 kg",LEO,AST SpaceMobile,Success,"September 12, 2024",08:52,F9B5,Success ( LZ‑1
374,Vandenberg,Starlink,"~16,700 kg",LEO,SpaceX,Success,"September 13, 2024",01:45,F9B5,Success ( OCISLY
375,Cape Canaveral,Galileo,"1,600 kg",MEO,ESA,Success,"September 17, 2024",22:50,F9B5,Success ( JRTI
376,Vandenberg,Starlink,"~16,300 kg",LEO,SpaceX,Success,"September 20, 2024",13:50,F9B5,Success ( OCISLY
377,Vandenberg,Starlink,"~16,300 kg",LEO,SpaceX,Success,"September 25, 2024",04:01,F9B5,Success ( OCISLY
378,Cape Canaveral,Crew-9,"~13,000 kg",LEO,NASA,Success,"September 28, 2024",17:17,F9B5,Success ( LZ‑1
379,Cape Canaveral,Hera,"1,108 kg",Heliocentric,ESA,Success,"October 7, 2024",14:52,F9B5,No attempt
380,Cape Canaveral,Starlink,"~17,100 kg",LEO,SpaceX,Success,"October 15, 2024",06:10,F9B5,Success ( ASOG
381,Vandenberg,Starlink,"~16,300 kg",LEO,SpaceX,Success,"October 15, 2024",08:21,F9B5,Success ( OCISLY
382,Cape Canaveral,Starlink,"~16,300 kg",LEO,SpaceX,Success,"October 18, 2024",23:31,F9B5,Success ( JRTI
383,Vandenberg,OneWeb #20,"2,954 kg",Polar,OneWeb,Success,"October 20, 2024",05:13,F9B5,Success ( LZ‑4
384,Cape Canaveral,Starlink,"~17,100 kg",LEO,SpaceX,Success,"October 23, 2024",21:47,F9B5,Success ( ASOG
385,Vandenberg,NROL-167,U,LEO,NRO,Success,"October 24, 2024",17:13,F9B5,Success ( OCISLY
386,Cape Canaveral,Starlink,"~16,700 kg",LEO,SpaceX,Success,"October 26, 2024",21:47,F9B5,Success ( JRTI
387,Vandenberg,Starlink,"~16,300 kg",LEO,SpaceX,Success,"October 30, 2024",12:07,F9B5,Success ( OCISLY
388,Cape Canaveral,Starlink,"~17,100 kg",LEO,SpaceX,Success,"October 30, 2024",21:10,F9B5,Success ( ASOG
389,Kennedy,SpaceX CRS-31,"2,762 kg",LEO,NASA,Success,"November 5, 2024",02:29,F9B5,Success ( LZ‑1
390,Cape Canaveral,Starlink,"~17,100 kg",LEO,SpaceX,Success,"November 7, 2024",20:19,F9B5,Success ( JRTI
391,Vandenberg,Starlink,"~16,300 kg",LEO,SpaceX,Success,"November 9, 2024",06:14,F9B5,Success ( OCISLY
